stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id
ST,After Ban Khaek Intersection,13.7294583,100.4943705,ST,,
ST,Opposite Suksanari School,13.7335707,100.4957601,ST,,
ST,Suksanari School,13.7336410,100.4954993,ST,,
ST,Indian Emporium Phahurat,13.7433423,100.5014859,ST,,
ST,Mega Plaza Bus Stop,13.7455208,100.5026819,ST,,
ST,S.A.B. Intersection,13.7462713,100.5048823,ST,,
ST,Opposite Khlong Thom(Worachack side),13.746377,100.506132,ST,,
ST,Wat Disanukaram,13.7489581,100.5074622,ST,,
ST,Worachak Market,13.7493929,100.5074894,ST,,
ST,Before Maen Si Intersection,13.7511905,100.5083315,ST,,
ST,After Maen Si Intersection,13.7511853,100.5085008,ST,,
ST,Wat Saket(Golden Mountain),13.7528178,100.5090385,ST,,
ST,Opposite Wat Saket(Golden Mountain),13.7532992,100.5093136,ST,,
ST,Wat Sitaram,13.7549234,100.5098872,ST,,
ST,Soi Damrang Rak Gas Station,13.7545893,100.5122765,ST,,
ST,Opposite Bobae Tower,13.7548035,100.5144404,ST,,
ST,Mahanak Bus Terminal,13.7550585,100.5162021,ST,,
ST,Ministry of Social Development and Human Security,13.7554952,100.5166261,ST,,
ST,Before Saphan Khao Intersection,13.7565898,100.5144470,ST,,
ST,After Saphan Khao Intersection,13.7564903,100.5142729,ST,,
ST,Wat Sunthon Thammathan,13.7565360,100.5115764,ST,,
ST,Opposite Wat Sunthon Thammathan,13.7563974,100.5113722,ST,,
ST,After Lan Luang Intersection,13.7555166,100.5096016,ST,,
ST,Before Lan Luang Intersection,13.7554839,100.5094444,ST,,
ST,Before Bukkhalo Intersection,13.7039902,100.4871682,ST,,
ST,After Bukkhalo Intersection,13.7034902,100.4874186,ST,,
ST,After Krungthep Bridge,13.6982173,100.4962700,ST,,
ST,Before Krungthep Bridge,13.6976180,100.4963794,ST,,
ST,Opposite Bang Kho Laem Market,13.6985522,100.4984641,ST,,
ST,Bang Kho Laem Market,13.6982878,100.4983751,ST,,
ST,Soi Wat Lat Bua Khao,13.7001173,100.5002191,ST,,
ST,Opposite Soi Wat Lat Bua Khao,13.7003748,100.5006528,ST,,
ST,Opposite Wat Phraya Krai Police Station,13.7020592,100.5023587,ST,,
ST,Wat Phraya Krai Police Station,13.7025027,100.5029805,ST,,
ST,Asiatique,13.7035067,100.5039481,ST,,
ST,Opposite Asiatique,13.7036952,100.5043336,ST,,
ST,Wat Ratcha Singkhorn,13.7046628,100.5052150,ST,,
ST,Opposite Wat Ratcha Singkhorn,13.7050005,100.5057963,ST,,
ST,Ramada Plaza Riverside Hotel,13.7058962,100.5065749,ST,,
ST,Opposite Ramada Plaza Riverside Hotel,13.7062743,100.5071856,ST,,
ST,The Bangkok South Municipal Court,13.7074205,100.5082678,ST,,
ST,Baan Mai,13.7076968,100.5087601,ST,,
ST,Opposite Wat Phraya Krai Post Office,13.7088695,100.5098511,ST,,
ST,Masjid Bayan,13.7092111,100.5104042,ST,,
ST,After Trok Chan Junction,13.7116241,100.5120136,ST,,
ST,Before Trok Chan Junction,13.7114626,100.5120357,ST,,
ST,Wat Suthiwararam,13.7130200,100.5127090,ST,,
ST,Fish Marketing Organization,13.7134726,100.5128160,ST,,
ST,Opposite RMUTK South Bangkok Campus,13.7151576,100.5135639,ST,,
ST,RMUTK South Bangkok Campus,13.715798,100.513948,ST,,
ST,Wat Yannawa,13.7164490,100.5141231,ST,,
ST,Opposite Wat Yannawa,13.7171931,100.5145866,ST,,
ST,Opposite Central Bangrak,13.7202055,100.5158695,ST,,
ST,Central Bangrak,13.7207712,100.5159889,ST,,
ST,Opposite Lerdsin Hospital,13.7225949,100.5173506,ST,,
ST,Lerdsin Hospital,13.7223773,100.5173700,ST,,
ST,Mandarin Oriental Hotel,13.7245624,100.5162821,ST,,
ST,Opposite Mandarin Oriental Hotel,13.7248144,100.5163416,ST,,
ST,Bangkok General Post Office,13.7283059,100.5158158,ST,,
ST,Wat Maha Phruettharam,13.7327357,100.5158013,ST,,
ST,Talad Noi,13.7327590,100.5146025,ST,,
ST,Song Wat Road,13.7356023,100.5136983,ST,,
ST,Khao Lam Road,13.7367148,100.5147680,ST,,
ST,Front Bangkok Station (Hua Lamphong),13.7384944, 100.5161272,ST,,
ST,Bangkok Station (Hua Lamphong),13.7398459,100.5162847,ST,,
ST,Hua Lamphong(Rong Mueang side),13.7384944,100.5161272,ST,,
ST,Wat Duang Khae,13.7407718,100.5188457,ST,,
ST,Wat Duang Khae Intersection(Jaru Muang side),13.7396040,100.5197104,ST,,
ST,MRT Hua Lamphong Station(Exit 3),13.7375829,100.5175524,ST,,
ST,MRT Hua Lamphong Station(Exit 4),13.7369281,100.5179834,ST,,
ST,Hua Lamphong Junction,13.7366400,100.5160632,ST,,
